	full_name	abbreviation	ELO	Wins	Losses	Win Streak	Lose Streak
0	Atlanta Hawks	ATL	148.98999999999987	44	40	0	1
1	Boston Celtics	BOS	1413.1999999999998	54	30	3	0
2	Cleveland Cavaliers	CLE	890.68	52	32	0	4
3	New Orleans Pelicans	NOP	-639.8200000000002	35	49	1	0
4	Chicago Bulls	CHI	-46.78999999999994	42	42	2	0
5	Dallas Mavericks	DAL	-593.01	34	50	1	0
6	Denver Nuggets	DEN	-35.94000000000028	41	43	2	0
7	Golden State Warriors	GSW	2987.2299999999987	68	16	1	0
8	Houston Rockets	HOU	1421.8500000000001	56	28	1	0
9	Los Angeles Clippers	LAC	1001.1099999999998	52	32	7	0
10	Los Angeles Lakers	LAL	-1928.0600000000004	27	57	0	1
11	Miami Heat	MIA	375.15999999999974	42	42	3	0
12	Milwaukee Bucks	MIL	87.39999999999998	43	41	0	1
13	Minnesota Timberwolves	MIN	-1064.5400000000002	32	52	0	6
14	Brooklyn Nets	BKN	-2347.3299999999995	21	63	0	2
15	New York Knicks	NYK	-1273.5800000000002	32	52	1	0
16	Orlando Magic	ORL	-1370.9200000000003	30	54	1	0
17	Indiana Pacers	IND	168.98999999999995	43	41	5	0
18	Philadelphia 76ers	PHI	-1530.7799999999997	29	55	0	8
19	Phoenix Suns	PHX	-1943.5399999999997	25	59	0	1
20	Portland Trail Blazers	POR	115.54999999999998	42	42	0	1
21	Sacramento Kings	SAC	-1033.0700000000004	33	51	0	1
22	San Antonio Spurs	SAS	2217.7599999999998	62	22	0	3
23	Oklahoma City Thunder	OKC	688.1200000000001	48	36	0	1
24	Toronto Raptors	TOR	1135.7300000000002	52	32	4	0
25	Utah Jazz	UTA	1088.19	52	32	2	0
26	Memphis Grizzlies	MEM	63.320000000000036	44	40	0	2
27	Washington Wizards	WAS	1095.7300000000002	50	34	0	1
28	Detroit Pistons	DET	-446.27999999999986	38	46	0	2
29	Charlotte Hornets	CHA	-673.5200000000003	37	47	0	5
